gamma,NRC3
0.039785832,0.008691643
0.039941855,0.008718984
0.040097877,0.008746276
0.040253904,0.008773516
0.040409926,0.008800705
0.040565949,0.008827846
0.040721972,0.008854936
0.040877998,0.008881978
0.04103402,0.00890897
0.041190043,0.008935913
0.041346066,0.008962807
0.041502088,0.008989654
0.041658115,0.009016452
0.041814137,0.009043203
0.04197016,0.009069905
0.042126182,0.009096561
0.042282209,0.009123169
0.042438231,0.009149731
0.042594254,0.009176246
0.042750277,0.009202715
0.042906303,0.009229138
0.043062326,0.009255517
0.043218348,0.009281849
0.043374371,0.009308134
0.043530397,0.009334377
0.04368642,0.009360573
0.043842442,0.009386725
0.043998465,0.009412833
0.044154488,0.009438897
0.044310514,0.009464917
0.044466536,0.009490893
0.044622559,0.009516825
0.044778582,0.009542713
0.044934608,0.009568561
0.045090631,0.009594364
0.045246653,0.009620125
0.045402676,0.009645844
0.045558702,0.00967152
0.045714725,0.009697157
0.045870747,0.009722749
0.04602677,0.0097483
0.046182793,0.009773811
0.046338819,0.009799278
0.046494842,0.009824708
0.046650864,0.009850095
0.046806887,0.009875442
0.046962913,0.00990075
0.047118936,0.009926016
0.047274958,0.009951242
0.047430981,0.009976429
0.047587007,0.010001576
0.04774303,0.010026685
0.047899053,0.010051753
0.048055075,0.010076783
0.048211101,0.010101775
0.048367124,0.010126728
0.048523147,0.010151641
0.048679169,0.010176517
0.048835192,0.010201355
0.048991218,0.010226156
0.049147241,0.010250919
0.049303263,0.010275642
0.049459286,0.01030033
0.049615312,0.01032498
0.049771335,0.010349594
0.049927358,0.01037417
0.05008338,0.01039871
0.050239407,0.010423214
0.050395429,0.010447681
0.050551452,0.010472111
0.050707474,0.010496507
0.050863501,0.010520866
0.051019523,0.010545189
0.051175546,0.010569478
0.051331569,0.01059373
0.051487591,0.010617946
0.051643617,0.010642129
0.05179964,0.010666277
0.051955663,0.01069039
0.052111685,0.010714467
0.052267712,0.010738512
0.052423734,0.010762521
0.052579757,0.010786496
0.052735779,0.010810437
0.052891806,0.010834344
0.053047828,0.010858218
0.053203851,0.010882059
0.053359874,0.010905866
0.0535159,0.01092964
0.053671923,0.010953381
0.053827945,0.010977088
0.053983968,0.011000764
0.05413999,0.011024405
0.054296017,0.011048015
0.054452039,0.011071592
0.054608062,0.011095136
0.054764085,0.011118649
0.054920111,0.011142129
0.055076133,0.01116558
0.055232156,0.011188995
0.055388179,0.011212381
0.055544205,0.011235735
0.055700228,0.011259058
0.05585625,0.01128235
0.056012273,0.011305611
0.056168295,0.011328841
0.056324322,0.01135204
0.056480344,0.011375207
0.056636367,0.011398342
0.05679239,0.011421451
0.056948416,0.011444528
0.057104439,0.011467574
0.057260461,0.011490591
0.057416484,0.011513578
0.05757251,0.011536535
0.057728533,0.011559462
0.057884555,0.011582359
0.058040578,0.011605226
0.058196604,0.011628064
0.058352627,0.011650874
0.058508649,0.011673654
0.058664672,0.011696406
0.058820695,0.011719127
0.058976721,0.01174182
0.059132744,0.011764486
0.059288766,0.011787121
0.059444789,0.011809729
0.059600815,0.01183231
0.059756838,0.01185486
0.05991286,0.011877382
0.060068883,0.011899878
0.060224909,0.011922345
0.060380932,0.011944784
0.060536955,0.011967194
0.060692977,0.01198958
0.060849003,0.012011936
0.061005026,0.012034266
0.061161049,0.012056567
0.061317071,0.012078842
0.061473094,0.01210109
0.06162912,0.01212331
