gamma,NRC3,,
0.058664706,0.006096928,,
0.058820728,0.006119718,,
0.058976755,0.006142478,,
0.059132777,0.006165208,,
0.0592888,0.006187911,,
0.059444822,0.006210583,,
0.059600849,0.006233228,,
0.059756871,0.006255845,,
0.059912894,0.006278432,,
0.060068917,0.00630099,,
0.060224943,0.006323521,,
0.060380965,0.006346026,,
0.060536988,0.006368499,,
0.060693011,0.006390946,,
0.060849037,0.006413367,,
0.06100506,0.006435758,,
0.061161082,0.006458122,,
0.061317105,0.006480458,,
0.061473131,0.006502768,,
0.061629154,0.00652505,,
0.061785176,0.006547305,,
0.061941199,0.006569533,,
0.062097225,0.006591734,,
0.062253248,0.006613909,,
0.062409271,0.006636056,,
0.062565297,0.006658177,,
0.062721319,0.00668027,,
0.062877342,0.006702339,,
0.063033365,0.006724379,,
0.063189387,0.006746395,,
0.06334541,0.006768384,,
0.06350144,0.006790348,,
0.063657463,0.006812286,,
0.063813485,0.006834196,,
0.063969508,0.006856082,,
0.06412553,0.006877941,,
0.064281553,0.006899775,,
0.064437576,0.006921584,,
0.064593598,0.006943368,,
0.064749628,0.006965126,,
0.064905651,0.006986859,,
0.065061674,0.007008567,,
0.065217696,0.00703025,,
0.065373719,0.007051908,,
0.065529741,0.007073539,,
0.065685764,0.007095148,,
0.065841787,0.00711673,,
0.065997817,0.007138291,,
0.066153839,0.007159824,,
0.066309862,0.007181336,,
0.066465884,0.007202821,,
0.066621907,0.007224281,,
0.06677793,0.007245719,,
0.066933952,0.007267131,,
0.067089975,0.007288521,,
0.067246005,0.007309887,,
0.067402028,0.007331227,,
0.06755805,0.007352546,,
0.067714073,0.00737384,,
0.067870095,0.007395111,,
0.068026118,0.007416358,,
0.068182141,0.00743758,,
0.068338171,0.00745878,,
0.068494193,0.007479958,,
0.068650216,0.007501111,,
0.068806238,0.007522242,,
0.068962261,0.00754335,,
0.069118284,0.007564434,,
0.069274306,0.007585496,,
0.069430329,0.007606534,,
0.069586359,0.007627553,,
0.069742382,0.007648545,,
0.069898404,0.007669518,,
0.070054427,0.007690465,,
0.070210449,0.00771139,,
0.070366472,0.007732295,,
0.070522495,0.007753176,,
0.070678517,0.007774036,,
0.070834547,0.007794874,,
0.07099057,0.007815689,,
0.071146592,0.007836482,,
0.071302615,0.007857253,,
0.071458638,0.007878001,,
0.07161466,0.007898729,,
0.071770683,0.007919434,,
0.071926706,0.00794012,,
0.072082736,0.007960783,,
